gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;27;Histoire;3;BAC S;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;44.0;16.0;14.0;6.0;22.0;3.0;2.0;5.0;2012;37.0;14.0;2.0;16.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;27;Histoire;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;27;Histoire;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;92.0;6.0;28.0;5.0;11.0;1.0;1.0;2.0;2012;54.0;2.0;6.0;8.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;28;Géographie;1;BAC L;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;3.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;2012;11.0;3.0;0.0;3.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;28;Géographie;1;BAC L;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;;;;;;;;;2012;1.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;28;Géographie;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;29;Aménagement;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;30;Archéologie, ethnologie, préhistoire;1;BAC L;R1;En retard d'un an;2;Femme;C;Assez bien;2014;9.0;5.0;1.0;1.0;6.0;0.0;0.0;0.0;2012;2.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;30;Archéologie, ethnologie, préhistoire;1;BAC L;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;2.0;0.0;2.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;30;Archéologie, ethnologie, préhistoire;2;BAC ES;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;6.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;32;Psychologie;1;BAC L;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;55.0;20.0;22.0;8.0;28.0;0.0;0.0;0.0;2012;59.0;12.0;11.0;23.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;32;Psychologie;1;BAC L;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;32;Psychologie;3;BAC S;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;54.0;43.0;2.0;2.0;45.0;0.0;0.0;0.0;2012;39.0;24.0;2.0;26.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;32;Psychologie;3;BAC S;R2;En retard de plus d'un an;2;Femme;Q;Inconnue;2014;;;;;;;;;2012;3.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;32;Psychologie;4;BAC STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;52.0;7.0;21.0;6.0;13.0;0.0;0.0;0.0;2012;41.0;1.0;5.0;6.0
